utc,endpoint,head,occupancyCall
2026-08-19T20:53:46.357Z,CoinbasePub,45702269,127
2026-08-19T20:54:46.369Z,QuickNodeEP1,45702298,127
2026-08-19T20:54:46.369Z,CoinbasePub,45702299,127
2026-08-19T20:55:45.844Z,QuickNodeEP1,45702328,127
2026-08-19T20:55:45.844Z,CoinbasePub,45702328,127
2026-08-19T20:56:45.840Z,QuickNodeEP1,45702358,127
2026-08-19T20:56:45.840Z,CoinbasePub,45702358,127
2026-08-19T20:57:45.752Z,QuickNodeEP1,45702388,127
2026-08-19T20:57:45.752Z,CoinbasePub,45702388,127
2026-08-19T20:58:45.722Z,QuickNodeEP1,45702418,127
2026-08-19T20:58:45.722Z,CoinbasePub,45702418,127
2026-08-19T20:59:46.470Z,QuickNodeEP1,45702448,127
2026-08-19T20:59:46.470Z,CoinbasePub,45702449,127
2026-08-19T21:00:46.310Z,QuickNodeEP1,45702478,127
2026-08-19T21:00:46.310Z,CoinbasePub,45702479,127
2026-08-19T21:01:46.316Z,QuickNodeEP1,45702508,127
2026-08-19T21:01:46.316Z,CoinbasePub,45702509,127
2026-08-19T21:02:46.342Z,QuickNodeEP1,45702538,127
2026-08-19T21:02:46.342Z,CoinbasePub,45702539,127
2026-08-19T21:03:45.752Z,QuickNodeEP1,45702568,127
2026-08-19T21:03:45.752Z,CoinbasePub,45702568,127
2026-08-19T21:04:45.789Z,QuickNodeEP1,45702598,127
2026-08-19T21:04:45.789Z,CoinbasePub,45702598,127
2026-08-19T21:05:45.796Z,QuickNodeEP1,45702628,127
2026-08-19T21:05:45.796Z,CoinbasePub,45702628,127
2026-08-19T21:06:45.721Z,QuickNodeEP1,45702658,127
2026-08-19T21:06:45.721Z,CoinbasePub,45702658,127
2026-08-19T21:07:45.758Z,QuickNodeEP1,45702688,127
2026-08-19T21:07:45.758Z,CoinbasePub,45702688,127
2026-08-19T21:08:46.341Z,QuickNodeEP1,45702718,127
2026-08-19T21:08:46.341Z,CoinbasePub,45702719,127
